model,hardware_type,run,latency_ms
resnet18,gpu,7,30.861403
resnet18,gpu,8,31.836545
resnet18,gpu,9,34.456976
resnet18,gpu,10,28.29916
resnet18,gpu,11,24.296392
resnet18,gpu,12,24.22514
resnet18,gpu,13,24.496512
resnet18,gpu,14,22.6236
resnet18,gpu,15,22.030792
resnet18,gpu,16,23.252132
resnet18,gpu,17,22.101779
resnet18,gpu,18,23.664927
resnet18,gpu,19,22.110826
resnet18,gpu,20,21.696906
resnet18,gpu,21,24.796349
resnet18,gpu,22,23.234344
resnet18,gpu,23,27.260998
resnet18,gpu,24,25.643802
resnet18,gpu,25,25.316397
resnet18,gpu,26,25.102573
resnet18,gpu,27,24.163366
resnet18,gpu,28,26.038178
resnet18,gpu,29,23.635041
resnet18,gpu,30,26.532746
resnet18,gpu,31,24.871203
resnet18,gpu,32,27.628368
resnet18,gpu,33,24.523743
resnet18,gpu,34,22.531349
resnet18,gpu,35,24.236495
resnet18,gpu,36,23.701386
resnet18,gpu,37,23.970124
resnet18,gpu,38,22.4672
resnet18,gpu,39,23.591014
resnet18,gpu,40,24.106591
resnet18,gpu,41,24.198797
resnet18,gpu,42,24.220508
resnet18,gpu,43,23.852792
resnet18,gpu,44,22.740786
resnet18,gpu,45,21.527878
resnet18,gpu,46,22.341156
resnet18,gpu,47,22.674911
resnet18,gpu,48,25.354092
resnet18,gpu,49,23.277388
resnet18,gpu,50,23.42547
resnet18,gpu,51,26.777574
resnet18,gpu,52,31.497958
resnet18,gpu,53,24.937918
resnet18,gpu,54,25.863036
resnet18,gpu,55,25.87457
resnet18,gpu,56,25.14269
resnet18,gpu,57,23.244002
resnet18,gpu,58,23.174218
resnet18,gpu,59,23.710773
resnet18,gpu,60,24.653675
resnet18,gpu,61,36.525376
resnet18,gpu,62,24.142841
resnet18,gpu,63,22.926455
resnet18,gpu,64,22.988533
resnet18,gpu,65,24.657366
resnet18,gpu,66,25.61574
resnet18,gpu,67,23.50187
resnet18,gpu,68,24.626643
resnet18,gpu,69,24.231076
resnet18,gpu,70,23.62197
resnet18,gpu,71,25.106686
resnet18,gpu,72,27.280077
resnet18,gpu,73,23.546604
resnet18,gpu,74,24.818424
resnet18,gpu,75,20.914985
resnet18,gpu,76,23.864423
resnet18,gpu,77,23.068307
resnet18,gpu,78,22.685043
resnet18,gpu,79,23.134701
resnet18,gpu,80,20.776311
resnet18,gpu,81,22.772358
resnet18,gpu,82,24.842633
resnet18,gpu,83,24.826654
resnet18,gpu,84,23.05162
resnet18,gpu,85,23.594346
resnet18,gpu,86,22.652543
resnet18,gpu,87,23.872092
resnet18,gpu,88,23.311871
resnet18,gpu,89,23.39677
resnet18,gpu,90,25.718037
resnet18,gpu,91,25.270558
resnet18,gpu,92,24.815195
resnet18,gpu,93,22.145677
resnet18,gpu,94,22.703698
resnet18,gpu,95,22.694632
resnet18,gpu,96,23.287025
resnet18,gpu,97,24.96272
resnet18,gpu,98,25.490635
resnet18,gpu,99,23.368153
resnet18,gpu,100,24.031513
resnet50,gpu,1,54.867599
resnet50,gpu,2,54.480525
resnet50,gpu,3,57.863705
resnet50,gpu,4,59.724133
resnet50,gpu,5,63.697344
resnet50,gpu,6,61.693721
resnet50,gpu,7,107.258426
resnet50,gpu,8,62.655248
resnet50,gpu,9,60.75963
resnet50,gpu,10,86.514314
resnet50,gpu,11,54.875879
resnet50,gpu,12,56.784696
resnet50,gpu,13,56.01989
resnet50,gpu,14,59.121032
resnet50,gpu,15,58.513619
resnet50,gpu,16,56.366987
resnet50,gpu,17,55.922758
resnet50,gpu,18,53.767022
resnet50,gpu,19,61.813713
resnet50,gpu,20,67.295083
resnet50,gpu,21,57.819592
resnet50,gpu,22,57.687873
resnet50,gpu,23,58.825014
resnet50,gpu,24,67.014289
resnet50,gpu,25,80.217387
resnet50,gpu,26,61.999086
resnet50,gpu,27,57.171814
resnet50,gpu,28,59.854092
resnet50,gpu,29,64.432491
resnet50,gpu,30,57.075224
resnet50,gpu,31,56.298877
resnet50,gpu,32,59.943823
resnet50,gpu,33,57.178526
resnet50,gpu,34,59.021832
resnet50,gpu,35,74.545186
resnet50,gpu,36,58.993694
resnet50,gpu,37,56.998937
resnet50,gpu,38,66.240738
resnet50,gpu,39,78.795277
resnet50,gpu,40,64.658766
resnet50,gpu,41,56.14509
resnet50,gpu,42,57.204733
resnet50,gpu,43,55.387597
resnet50,gpu,44,56.829614
resnet50,gpu,45,55.883423
resnet50,gpu,46,57.227153
resnet50,gpu,47,54.413169
resnet50,gpu,48,55.379153
resnet50,gpu,49,57.231812
resnet50,gpu,50,57.635085
resnet50,gpu,51,57.342593
resnet50,gpu,52,56.368748
resnet50,gpu,53,56.443425
resnet50,gpu,54,57.362124
resnet50,gpu,55,57.661802
resnet50,gpu,56,57.615039
resnet50,gpu,57,59.801925
resnet50,gpu,58,56.731903
resnet50,gpu,59,55.352637
resnet50,gpu,60,61.034704
resnet50,gpu,61,56.946618
resnet50,gpu,62,56.946995
resnet50,gpu,63,55.972256
resnet50,gpu,64,54.793078
resnet50,gpu,65,56.799586
resnet50,gpu,66,56.708441
resnet50,gpu,67,55.87887
resnet50,gpu,68,56.701513
resnet50,gpu,69,55.498722
resnet50,gpu,70,57.299474
resnet50,gpu,71,58.883506
resnet50,gpu,72,56.15314
resnet50,gpu,73,55.446238
resnet50,gpu,74,56.297452
resnet50,gpu,75,56.370781
resnet50,gpu,76,57.715013
resnet50,gpu,77,55.883442
resnet50,gpu,78,57.251194
resnet50,gpu,79,55.134873
resnet50,gpu,80,61.056999
resnet50,gpu,81,60.782807
resnet50,gpu,82,54.629072
resnet50,gpu,83,54.867708
resnet50,gpu,84,55.935912
resnet50,gpu,85,70.570027
resnet50,gpu,86,61.27398
resnet50,gpu,87,66.863808
resnet50,gpu,88,60.225941
resnet50,gpu,89,66.666046
resnet50,gpu,90,66.750843
resnet50,gpu,91,56.685665
resnet50,gpu,92,56.735209
resnet50,gpu,93,55.054214
resnet50,gpu,94,53.367701
resnet50,gpu,95,55.993851
resnet50,gpu,96,56.670237
resnet50,gpu,97,60.382863
resnet50,gpu,98,55.093745
resnet50,gpu,99,55.280799
resnet50,gpu,100,54.43857
vgg16,gpu,1,144.216247
vgg16,gpu,2,134.827765
vgg16,gpu,3,137.203941
vgg16,gpu,4,140.232532
vgg16,gpu,5,142.314741
vgg16,gpu,6,141.235865
vgg16,gpu,7,145.452625
vgg16,gpu,8,142.187556
vgg16,gpu,9,145.092428
vgg16,gpu,10,142.432661
vgg16,gpu,11,166.638441
vgg16,gpu,12,144.730776
vgg16,gpu,13,142.159652
vgg16,gpu,14,144.728791
vgg16,gpu,15,135.347851
vgg16,gpu,16,144.707129
vgg16,gpu,17,138.470555
vgg16,gpu,18,143.279251
vgg16,gpu,19,137.348766
vgg16,gpu,20,138.248044
vgg16,gpu,21,140.342559
vgg16,gpu,22,141.835795
vgg16,gpu,23,137.39035
vgg16,gpu,24,137.909664
vgg16,gpu,25,135.258628
vgg16,gpu,26,138.058691
vgg16,gpu,27,143.64152
vgg16,gpu,28,150.274715
vgg16,gpu,29,136.782526
vgg16,gpu,30,137.307278
vgg16,gpu,31,138.414103
vgg16,gpu,32,140.401209
vgg16,gpu,33,145.219982
vgg16,gpu,34,138.00273
vgg16,gpu,35,142.880724
vgg16,gpu,36,139.785919
vgg16,gpu,37,138.593407
vgg16,gpu,38,142.395634
vgg16,gpu,39,139.981814
vgg16,gpu,40,140.135983
vgg16,gpu,41,165.634459
vgg16,gpu,42,145.202744
vgg16,gpu,43,142.630407
vgg16,gpu,44,139.879695
vgg16,gpu,45,140.674864
vgg16,gpu,46,136.703789
vgg16,gpu,47,137.281845
vgg16,gpu,48,137.001581
vgg16,gpu,49,138.436304
vgg16,gpu,50,137.944032
vgg16,gpu,51,135.183676
vgg16,gpu,52,138.780792
vgg16,gpu,53,141.898186
vgg16,gpu,54,149.883225
vgg16,gpu,55,137.61238
vgg16,gpu,56,152.799146
vgg16,gpu,57,140.718911
vgg16,gpu,58,139.236301
vgg16,gpu,59,175.230209
vgg16,gpu,60,144.769714
vgg16,gpu,61,167.80888
vgg16,gpu,62,140.052175
vgg16,gpu,63,134.184593
vgg16,gpu,64,159.884782
vgg16,gpu,65,182.976872
vgg16,gpu,66,162.499147
vgg16,gpu,67,158.880801
vgg16,gpu,68,159.364759
vgg16,gpu,69,143.319326
vgg16,gpu,70,150.290221
vgg16,gpu,71,146.394853
vgg16,gpu,72,134.501788
vgg16,gpu,73,137.326234
vgg16,gpu,74,139.351203
vgg16,gpu,75,141.840421
vgg16,gpu,76,143.950513
vgg16,gpu,77,146.07775
vgg16,gpu,78,139.417343
vgg16,gpu,79,167.856202
vgg16,gpu,80,143.892246
vgg16,gpu,81,145.200747
vgg16,gpu,82,141.544981
vgg16,gpu,83,143.774947
vgg16,gpu,84,139.452705
vgg16,gpu,85,141.076413
vgg16,gpu,86,139.318242
vgg16,gpu,87,136.820925
vgg16,gpu,88,141.150227
vgg16,gpu,89,156.478992
vgg16,gpu,90,146.99212
vgg16,gpu,91,139.721868
vgg16,gpu,92,137.358499
vgg16,gpu,93,141.609885
vgg16,gpu,94,135.583832
vgg16,gpu,95,154.521765
vgg16,gpu,96,145.39821
vgg16,gpu,97,154.56671
vgg16,gpu,98,144.67048
vgg16,gpu,99,147.781992
vgg16,gpu,100,142.765879
inception_v3,gpu,1,45.831115
inception_v3,gpu,2,44.806149
inception_v3,gpu,3,41.625474
inception_v3,gpu,4,45.46982
inception_v3,gpu,5,41.711858
inception_v3,gpu,6,38.683047
inception_v3,gpu,7,40.738555
inception_v3,gpu,8,40.404509
inception_v3,gpu,9,49.366877
inception_v3,gpu,10,42.749737
inception_v3,gpu,11,40.315889
inception_v3,gpu,12,41.359437
inception_v3,gpu,13,41.512976
inception_v3,gpu,14,39.80292
inception_v3,gpu,15,40.897559
inception_v3,gpu,16,39.919954
inception_v3,gpu,17,40.538843
inception_v3,gpu,18,38.884133
inception_v3,gpu,19,39.819346
inception_v3,gpu,20,39.250737
inception_v3,gpu,21,39.170526
inception_v3,gpu,22,40.585397
